RT (min),Intensity_mz_695.3790,Intensity_mz_678.3508,Intensity_mz_700.3328
2.2064094,0,0,0
2.2151344,0,0,0
2.2238593,0,0,0
2.2325843,0,0,0
2.2413071,0,0,0
2.2500321,0,0,0
2.258757,0,0,0
2.2674822,0,0,0
2.2762048,0,0,0
2.2849299,0,0,0
2.2936547,0,0,0
2.3023776,0,0,0
2.3111025,0,0,0
2.3198275,0,0,0
2.3285524,0,0,0
2.3372753,0,0,0
2.3460002,0,0,0
2.3547252,0,0,0
2.3634501,0,0,0
2.372173,0,0,0
2.3808979,0,0,0
2.3896229,0,0,0
2.3983457,0,0,0
2.4070707,0,0,0
2.4157956,0,0,0
2.4245206,0,0,0
2.4332434,0,0,0
2.4419684,0,0,0
2.4506933,0,0,0
2.4594183,0,0,0
2.4681411,0,0,0
2.4768661,0,0,0
2.485591,0,0,0
2.4943139,0,0,0
2.5030388,23975.81836,23489.00586,0
2.5117638,0,0,0
2.5204887,26260.37891,15670.47949,0
2.5292116,28427.20703,0,0
2.5379365,34882.13281,0,0
2.5466615,35956.33984,0,0
2.5553864,45046.92969,0,0
2.5641093,0,0,0
2.5728342,22603.16992,0,17371.5957
2.5815592,0,0,0
2.590282,45366.74609,0,0
2.599007,30512.29688,0,0
2.6077319,0,0,0
2.6164568,25705.79688,0,0
2.6251798,0,0,0
2.6339046,0,0,0
2.6426296,0,0,0
2.6513545,0,41080.51172,0
2.6600774,37371.64453,0,0
2.6688024,0,0,0
2.6775273,0,0,0
2.6862502,0,0,0
2.6949751,0,0,0
2.7037,0,0,0
2.712425,0,0,0
2.7211478,0,25620.54297,0
2.7298728,0,0,0
2.7385977,35451.16797,0,0
2.7473227,0,0,0
2.7560455,0,0,0
2.7647705,0,0,0
2.7734954,0,0,0
2.7822204,0,0,0
2.7909432,0,0,0
2.7996682,0,0,0
2.8083931,0,0,0
2.817116,0,0,0
2.8258409,0,0,0
2.8345659,0,0,0
2.8432908,0,0,0
2.8520137,0,0,0
2.8607386,0,0,0
2.8694637,0,0,0
2.8781885,41467.87891,0,0
2.8869114,0,0,0
2.8956363,86357.10156,0,0
2.9043613,72171.92188,0,0
2.9130862,53883.68359,0,0
2.9218091,0,0,0
2.930534,0,0,0
2.939259,0,0,0
2.9479818,0,70965.71094,0
2.9567068,0,0,0
2.9654317,0,0,0
2.9741567,0,0,0
2.9828796,0,0,0
2.9916045,0,0,0
3.0003294,0,0,0
3.0090544,0,0,0
3.0177772,0,0,0
3.0265022,0,0,0
3.0352271,0,0,0
3.0439521,0,0,0
3.0526749,0,0,0
3.0613999,0,0,0
3.0701248,0,0,0
3.0788477,0,0,43974.03125
3.0875726,0,0,37849.15625
3.0962977,0,0,0
3.1050225,0,29438.32422,36483.82031
3.1137454,0,59959.69922,0
3.1224703,0,0,0
3.1311953,0,0,0
3.1399202,0,0,0
3.1486431,0,0,0
3.157368,0,0,0
3.166093,0,0,0
3.1748158,0,0,0
3.183541,0,0,0
3.1922657,0,0,0
3.2009907,0,0,0
3.2097136,0,0,0
3.2184385,0,0,0
3.2271634,0,0,0
3.2358884,0,0,0
3.2446112,0,0,0
3.2533362,0,0,0
3.2620611,0,0,0
3.270784,0,0,0
3.2795089,0,0,0
3.2882339,0,0,0
