SampleID,Tube_Name,Box,Cage,Day,Amp,Hypothesis,Batch,Mother_Infant
MOI_C4_D21_Hypo3_1,NA,NA,4,B21,TRUE,3,1,Infant
MO_C4_D21_Hypo3_2,NA,NA,4,B21,FALSE,3,2,Mother
MOI_C4_D21_Hypo3_2,NA,NA,4,B21,FALSE,3,2,Infant
MOI_C4_D7_Hypo1_2,MOI_C4_D7,7,4,B7,TRUE,1,2,Infant
MOI_C4_D21_Hypo1_2,MOI_C4_D21,7,4,B21,TRUE,1,2,Infant
MOI_C4_D14_Hypo1_2,MOI_C4_D14,7,4,B14,TRUE,1,2,Infant
MOI_C4_D10_Hypo3_1,MOI_C4_D10,5,4,B10,TRUE,3,1,Infant
MOI_C4_D10_Hypo3_2,MOI_C4_D10,6,4,B10,TRUE,3,2,Infant
MOI_C4_B21_Hypo1_1,MOI_C4_B21,3,4,B21,FALSE,1,1,Infant
MOI_C4_B14_Hypo1_1,MOI_C4_B14,3,4,B14,FALSE,1,1,Infant
MO_C4_G18_Hypo1_2,MO_C4_G18,7,4,E18,TRUE,1,2,Mother
MO_C4_G16_Hypo1_2,MO_C4_G16,7,4,E16,TRUE,1,2,Mother
MO_C4_E18_Hypo1_1,MO_C4_E18,1,4,E18,FALSE,1,1,Mother
MO_C4_E17_Hypo1_1,MO_C4_E17,1,4,E17,FALSE,1,1,Mother
MO_C4_E16_Hypo1_1,MO_C4_E16,1,4,E16,FALSE,1,1,Mother
MO_C4_D7_Hypo1_2,MO_C4_D7,7,4,B7,TRUE,1,2,Mother
MO_C4_D21_Hypo1_2,MO_C4_D21,7,4,B21,TRUE,1,2,Mother
MO_C4_D14_Hypo1_2,MO_C4_D14,7,4,B14,TRUE,1,2,Mother
MO_C4_D10_Hypo3_1,MO_C4_D10,5,4,B10,FALSE,3,1,Mother
MO_C4_D10_Hypo3_2,MO_C4_D10,6,4,B10,FALSE,3,2,Mother
MO_C4_D1_Hypo3_1,MO_C4_D1,5,4,B1,FALSE,3,1,Mother
MO_C4_D1_Hypo3_2,MO_C4_D1,6,4,B1,FALSE,3,2,Mother
MO_C4_D1_Hypo1_2,MO_C4_D1,7,4,B1,TRUE,1,2,Mother
MO_C4_B7_Hypo1_1,MO_C4_B7,3,4,B7,FALSE,1,1,Mother
MO_C4_B7_Hypo2_1,MO_C4_B7,2,4,B7,FALSE,2,1,Mother
MO_C4_B3_Hypo2_1,MO_C4_B3,2,4,B3,FALSE,2,1,Mother
MO_C4_B21_Hypo1_1,MO_C4_B21,3,4,B21,FALSE,1,1,Mother
MO_C4_B21_Hypo2_1,MO_C4_B21,2,4,B21,FALSE,2,1,Mother
MO_C4_B2_Hypo2_1,MO_C4_B2,2,4,B2,FALSE,2,1,Mother
MO_C4_B2_Hypo1_1,MO_C4_B2,3,4,B2,FALSE,1,1,Mother
MO_C4_B14_Hypo2_1,MO_C4_B14,2,4,B14,FALSE,2,1,Mother
MO_C4_B14_Hypo1_1,MO_C4_B14,3,4,B14,FALSE,1,1,Mother
MO_C4_B1_Hypo2_1,MO_C4_B1,2,4,B1,FALSE,2,1,Mother
MO_C4_B1_Hypo1_1,MO_C4_B1,1,4,B1,FALSE,1,1,Mother
