SampleID,Tube_Name,Box,Cage,Day,Amp,Hypothesis,Batch,Mother_Infant
MO_C3_2_B2_Hypo2_1,MO_C3_2_B2,2,3_2,B2,TRUE,2,1,Mother
MO_C3_2_B14_Hypo2_1,MO_C3_2_B14,2,3_2,B14,TRUE,2,1,Mother
MO_C3_2_B1_Hypo2_1,MO_C3_2_B1,2,3_2,B1,TRUE,2,1,Mother
MO_C4_2_B7_Hypo2_1,MO_C4_2_B7,2,4_2,B7,FALSE,2,1,Mother
MO_C4_2_B3_Hypo2_1,MO_C4_2_B3,2,4_2,B3,FALSE,2,1,Mother
MO_C4_2_B21_Hypo2_1,MO_C4_2_B21,2,4_2,B21,FALSE,2,1,Mother
MO_C4_2_B2_Hypo2_1,MO_C4_2_B2,2,4_2,B2,FALSE,2,1,Mother
MO_C4_2_B14_Hypo2_1,MO_C4_2_B14,2,4_2,B14,FALSE,2,1,Mother
MO_C4_2_B1_Hypo2_1,MO_C4_2_B1,2,4_2,B1,FALSE,2,1,Mother
MO_C7_2_B7_Hypo2_1,MO_C7_2_B7,2,7_2,B7,FALSE,2,1,Mother
MO_C7_2_B3_Hypo2_1,MO_C7_2_B3,2,7_2,B3,FALSE,2,1,Mother
MO_C7_2_B21_Hypo2_1,MO_C7_2_B21,2,7_2,B21,FALSE,2,1,Mother
MO_C7_2_B2_Hypo2_1,MO_C7_2_B2,2,7_2,B2,FALSE,2,1,Mother
MO_C7_2_B14_Hypo2_1,MO_C7_2_B14,2,7_2,B14,FALSE,2,1,Mother
MO_C7_2_B1_Hypo2_1,MO_C7_2_B1,2,7_2,B1,FALSE,2,1,Mother
MO_9_2_B7_Hypo2_1,MO_9_2_B7,2,9_2,B7,TRUE,2,1,Mother
MO_9_2_B3_Hypo2_1,MO_9_2_B3,2,9_2,B3,FALSE,2,1,Mother
MO_9_2_B21_Hypo2_1,MO_9_2_B21,2,9_2,B21,TRUE,2,1,Mother
MO_9_2_B2_Hypo2_1,MO_9_2_B2,2,9_2,B2,TRUE,2,1,Mother
MO_9_2_B14_Hypo2_1,MO_9_2_B14,2,9_2,B14,TRUE,2,1,Mother
MO_9_2_B1_Hypo2_1,MO_9_2_B1,2,9_2,B1,TRUE,2,1,Mother
